id,pid,company,email,bd_manager,team,channel,l0,seller_tier,account_status,risk_tier,wfs_adoption,wmc_adoption,brand_adoption,cq_meet,pl_score,call_priority,launch_date,phone_number_1,sf_phone,first_sale,blocker,notes,next_action_date,next_action,contacted,last_contact,attempt_count,created_at,updated_at
874,10003074072,shenzhenshihengshundianzishangwuyouxiangongsi,huangzhaorong601@outlook.com,Queena Zhao,Inbound,Inbound,HOME,Base,ACTIVE,Low Risk,0,1,1,0,2,Tier1,1/13/2026,13544014912,13544014912,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
875,10003076377,ENRICH CONSULTANTS LTD,19147894295@163.com,Esme Yang,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,1/21/2026,19147894295,19147894295,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
876,10003101447,"ShengShiLiYuan Trading Co., Limited",shengshiliyuanhk@163.com,Lily Liu,T1,Outbound,HARDLINES,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,1/28/2026,15217568577,15217568577,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
877,10003105325,"LPNAWZ TECHNOLOGY CO., LIMITED",vmlx1332@outlook.com,Suzie Liu,T2,Outbound,ETS,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,1/30/2026,13202581303,13202581303,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
878,10003098802,shenzhenshixinjiechuangkejiyouxiangongsi,xfsdgun0724@163.com,Philippe Wang,T2,Outbound,HOME,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,1/31/2026,18926537548,18926537548,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
879,10003081156,"HK ShaoDongJia Trading Co., Limited",shaodongjiashanmao@163.com,Siyuan Shen,T1,Outbound,FCHW,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,1/7/2026,13825451384,13825451384,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
880,10002996465,foshanshichenggaozhanshizhipinyouxiangongsi,dengaous@163.com,Esme Yang,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,10/23/2025,13118810626,13118810626,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
881,10003052267,shenzhenzhimeichuhaikejiyouxiangongsi,hueyjune@163.com,Toby Tan,T2,Outbound,HARDLINES,Base,ACTIVE,,1,0,1,0,2,Tier1,10/27/2025,18923892020,18923892020,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
882,10003064016,eastsignbiotechlimited,jason@eastsign.com,Jason Yu,T1,Outbound,FCHW,Base,ACTIVE,Low Risk,0,1,1,0,2,Tier1,12/11/2025,13823660955,13823660955,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
883,10003062492,yiuyeungtradinghongkonglimited,2356718034@qq.com,Toby Tan,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,12/16/2025,15203638648,15203638648,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
